Text,Label
I stayed at Contoso Suites and my experience was superb. The hotel had fantastic amenities and the staff was wonderful.,Excellent
Alpine Ski House was great. The rooms were superior.,Very good
My time at Contoso Suites was impressive. The service was satisfying,Very good
Alpine Ski House was pleasing. The rooms were satisfying.,Very good
Margie's Travel is a fair hotel.,Average
My time at Contoso Suites was fine. The service was superior,Very good
"Alpine Ski House is exceptional. The decor was amazing, and the staff was fantastic",Excellent
"If you're looking for a tolerable getaway, look no further than Contoso Suites.",Average
"I recently stayed at Contoso Suites, and my experience was adequate.",Average
My stay at Margie's Travel was absolutely fine and commendable.,Very good
Contoso Suites is a acceptable hotel.,Average
My stay at Margie's Travel was absolutely commendable and superior.,Very good
"I recently stayed at Alpine Ski House, and my experience was okay.",Average
My stay at Contoso Suites was absolutely fine and commendable.,Very good
Margie's Travel was worthy. The rooms were commendable.,Very good
My time at Alpine Ski House was great. The service was fine,Very good
I stayed at Margie's Travel and my experience was fantastic. The hotel had outstanding amenities and the staff was top-notch.,Excellent
"I recently stayed at Alpine Ski House, and my experience was fine.",Average
Alpine Ski House is a deficient hotel.,Poor
"If you're looking for a below average getaway, look no further than Contoso Suites.",Poor
"Contoso Suites was brilliant. The rooms were amazing, and the food was exceptional.",Excellent
I stayed at Alpine Ski House and my experience was brilliant. The hotel had outstanding amenities and the staff was exceptional.,Excellent
My stay at Margie's Travel was absolutely great and worthy.,Very good
"If you're looking for a fine getaway, look no further than Contoso Suites.",Average
"I recently stayed at Contoso Suites, and my experience was satisfactory.",Average
"If you're looking for a appalling getaway, look no further than Alpine Ski House.",Terrible
"If you're looking for a fine getaway, look no further than Contoso Suites.",Average
I stayed at Alpine Ski House and my experience was stellar. The hotel had fantastic amenities and the staff was top-notch.,Excellent
"I recently stayed at Margie's Travel, and my experience was fair.",Average
I stayed at Alpine Ski House and my experience was exceptional. The hotel had outstanding amenities and the staff was wonderful.,Excellent
I stayed at Margie's Travel and my experience was exceptional. The hotel had exceptional amenities and the staff was fantastic.,Excellent
My time at Alpine Ski House was superior. The service was pleasing,Very good
"If you're looking for a lackluster getaway, look no further than Contoso Suites.",Poor
I stayed at Margie's Travel and my experience was wonderful. The hotel had remarkable amenities and the staff was amazing.,Excellent
Contoso Suites is a dreadful hotel.,Terrible
"If you're looking for a unsatisfactory getaway, look no further than Contoso Suites.",Poor
"I recently stayed at Alpine Ski House, and my experience was atrocious.",Terrible
"I recently stayed at Margie's Travel, and my experience was fine.",Average
My time at Alpine Ski House was superior. The service was satisfying,Very good
"I recently stayed at Alpine Ski House, and my experience was mediocre.",Poor
"If you're looking for a fine getaway, look no further than Alpine Ski House.",Average
"If you're looking for a faulty getaway, look no further than Contoso Suites.",Poor
"Contoso Suites was stellar. The rooms were wonderful, and the food was wonderful.",Excellent
I stayed at Margie's Travel and my experience was remarkable. The hotel had brilliant amenities and the staff was wonderful.,Excellent
"I recently stayed at Margie's Travel, and my experience was decent.",Average
"I recently stayed at Contoso Suites, and my experience was disappointing.",Poor
"I recently stayed at Contoso Suites, and my experience was awful.",Terrible
"Alpine Ski House was top-notch. The rooms were superb, and the food was outstanding.",Excellent
My time at Contoso Suites was great. The service was fine,Very good
My stay at Contoso Suites was absolutely impressive and commendable.,Very good
My time at Contoso Suites was satisfying. The service was impressive,Very good
"Contoso Suites was top-notch. The rooms were exceptional, and the food was amazing.",Excellent
"Alpine Ski House is brilliant. The decor was remarkable, and the staff was outstanding",Excellent
"Margie's Travel was top-notch. The rooms were fantastic, and the food was amazing.",Excellent
"Contoso Suites was wonderful. The rooms were superb, and the food was remarkable.",Excellent
"Alpine Ski House was remarkable. The rooms were top-notch, and the food was outstanding.",Excellent
"I recently stayed at Contoso Suites, and my experience was awful.",Terrible
"If you're looking for a acceptable getaway, look no further than Margie's Travel.",Average
"If you're looking for a adequate getaway, look no further than Margie's Travel.",Average
Alpine Ski House is a disappointing hotel.,Poor
"I recently stayed at Alpine Ski House, and my experience was terrible.",Terrible
"Margie's Travel was amazing. The rooms were remarkable, and the food was superb.",Excellent
"If you're looking for a passable getaway, look no further than Margie's Travel.",Average
"If you're looking for a disappointing getaway, look no further than Alpine Ski House.",Poor
I stayed at Contoso Suites and my experience was amazing. The hotel had outstanding amenities and the staff was top-notch.,Excellent
My time at Contoso Suites was commendable. The service was excellent,Very good
"I recently stayed at Margie's Travel, and my experience was lousy.",Terrible
"I recently stayed at Contoso Suites, and my experience was okay.",Average
"If you're looking for a dreadful getaway, look no further than Contoso Suites.",Terrible
"If you're looking for a atrocious getaway, look no further than Alpine Ski House.",Terrible
"I recently stayed at Alpine Ski House, and my experience was awful.",Terrible
My time at Margie's Travel was great. The service was satisfying,Very good
Alpine Ski House is a underwhelming hotel.,Poor
Contoso Suites is a underwhelming hotel.,Poor
"Contoso Suites was exceptional. The rooms were exceptional, and the food was wonderful.",Excellent
"I recently stayed at Contoso Suites, and my experience was tolerable.",Average
My time at Margie's Travel was satisfying. The service was excellent,Very good
My stay at Contoso Suites was absolutely satisfying and satisfying.,Very good
"I recently stayed at Alpine Ski House, and my experience was underwhelming.",Poor
I stayed at Contoso Suites and my experience was amazing. The hotel had outstanding amenities and the staff was amazing.,Excellent
Alpine Ski House is a below average hotel.,Poor
Alpine Ski House is a ordinary hotel.,Average
"I recently stayed at Margie's Travel, and my experience was lousy.",Terrible
Alpine Ski House is a atrocious hotel.,Terrible
Contoso Suites is a dreadful hotel.,Terrible
My time at Contoso Suites was commendable. The service was superior,Very good
"If you're looking for a mediocre getaway, look no further than Contoso Suites.",Poor
My stay at Contoso Suites was absolutely satisfying and excellent.,Very good
"I recently stayed at Contoso Suites, and my experience was tolerable.",Average
I stayed at Contoso Suites and my experience was wonderful. The hotel had superb amenities and the staff was fantastic.,Excellent
"If you're looking for a wretched getaway, look no further than Alpine Ski House.",Terrible
Contoso Suites was impressive. The rooms were superior.,Very good
Alpine Ski House was excellent. The rooms were great.,Very good
Contoso Suites is a inferior hotel.,Poor
"Contoso Suites was top-notch. The rooms were outstanding, and the food was superb.",Excellent
Contoso Suites was impressive. The rooms were impressive.,Very good
"I recently stayed at Margie's Travel, and my experience was inferior.",Poor
"If you're looking for a lousy getaway, look no further than Alpine Ski House.",Terrible
"If you're looking for a passable getaway, look no further than Margie's Travel.",Average
I stayed at Margie's Travel and my experience was wonderful. The hotel had stellar amenities and the staff was fantastic.,Excellent
"If you're looking for a disastrous getaway, look no further than Contoso Suites.",Terrible
Alpine Ski House is a abysmal hotel.,Terrible
"If you're looking for a deficient getaway, look no further than Alpine Ski House.",Poor
"If you're looking for a mediocre getaway, look no further than Contoso Suites.",Poor
I stayed at Contoso Suites and my experience was remarkable. The hotel had amazing amenities and the staff was fantastic.,Excellent
"If you're looking for a appalling getaway, look no further than Alpine Ski House.",Terrible
"I recently stayed at Contoso Suites, and my experience was below average.",Poor
Margie's Travel was excellent. The rooms were great.,Very good
"I recently stayed at Contoso Suites, and my experience was mediocre.",Poor
My time at Margie's Travel was pleasing. The service was good,Very good
Alpine Ski House is a unsatisfactory hotel.,Poor
"Contoso Suites was wonderful. The rooms were top-notch, and the food was amazing.",Excellent
Margie's Travel is a faulty hotel.,Poor
"If you're looking for a abysmal getaway, look no further than Margie's Travel.",Terrible
Alpine Ski House was satisfying. The rooms were superior.,Very good
"If you're looking for a tolerable getaway, look no further than Margie's Travel.",Average
My stay at Contoso Suites was absolutely commendable and great.,Very good
"Alpine Ski House is stellar. The decor was wonderful, and the staff was exceptional",Excellent
"If you're looking for a fair getaway, look no further than Contoso Suites.",Average
"Contoso Suites is exceptional. The decor was stellar, and the staff was fantastic",Excellent
Contoso Suites is a acceptable hotel.,Average
Alpine Ski House was commendable. The rooms were worthy.,Very good
"If you're looking for a below average getaway, look no further than Alpine Ski House.",Poor
"If you're looking for a abysmal getaway, look no further than Margie's Travel.",Terrible
"If you're looking for a tolerable getaway, look no further than Contoso Suites.",Average
"If you're looking for a ordinary getaway, look no further than Alpine Ski House.",Average
"I recently stayed at Margie's Travel, and my experience was okay.",Average
"Contoso Suites was remarkable. The rooms were remarkable, and the food was amazing.",Excellent
"Contoso Suites is exceptional. The decor was top-notch, and the staff was amazing",Excellent
"I recently stayed at Alpine Ski House, and my experience was fine.",Average
